geometrie_wkt,uuid,kreis_name,kreis_schluessel,gemeindeverband_name,gemeindeverband_schluessel,gemeinde_name,gemeinde_schluessel,linien
"MULTILINESTRING ((12.051556339556081 54.110934769711072,12.051140323774494 54.110602913485131,12.050728243676241 54.110286599978217,12.050512070098943 54.110091065055528,12.050354590367062 54.109929831821709,12.050174709713056 54.1097046271774,12.050051357875205 54.109497191089886,12.049954227541726 54.109277882418489,12.049869158073832 54.109018311233292,12.04919711806917 54.106432497021615))",53d76a8c-9999-11e5-9583-0050569b7e95,Rostock,13003,"Rostock, Hansestadt",130030000,"Rostock, Hansestadt",130030000000,25-39
"MULTILINESTRING ((12.090222018511076 54.086232335877327,12.091831387337622 54.086284585061023,12.094100085509002 54.086355169469179,12.095201356116309 54.086421878132207))",53d77220-9999-11e5-9585-0050569b7e95,Rostock,13003,"Rostock, Hansestadt",130030000,"Rostock, Hansestadt",130030000000,25-28-F1
"MULTILINESTRING ((12.088013729725937 54.08622813107943,12.088761954208918 54.086202689838068,12.08899793110545 54.086201257416818,12.090219999055209 54.086231169203074))",53d7793c-9999-11e5-9587-0050569b7e95,Rostock,13003,"Rostock, Hansestadt",130030000,"Rostock, Hansestadt",130030000000,25-28-F1
"MULTILINESTRING ((12.072649637872486 54.099039392765469,12.072933972892761 54.099032121723752,12.073224446790485 54.099002291289871,12.073365634857298 54.098979650277094))",53d781d4-9999-11e5-9589-0050569b7e95,Rostock,13003,"Rostock, Hansestadt",130030000,"Rostock, Hansestadt",130030000000,25-39-F1-128
"MULTILINESTRING ((12.074153874014936 54.098702935778249,12.073520032344431 54.098939747811038,12.07299470846054 54.099079441361972,12.072843459058957 54.099117454176188,12.072696271518186 54.099170920349522,12.072462355655134 54.09923980476232))",53d7865c-9999-11e5-958a-0050569b7e95,Rostock,13003,"Rostock, Hansestadt",130030000,"Rostock, Hansestadt",130030000000,25-39-F1-128
"MULTILINESTRING ((12.055317178503429 54.11505723615614,12.055130389029696 54.114985972874635,12.054965426554068 54.114917215417897,12.05480802807317 54.114844500437627,12.054577901615655 54.114718980445716,12.054331480731754 54.114575675043092,12.054111317835776 54.114446555243539,12.05391550491232 54.114319760493849,12.053766013652204 54.114213163284809,12.05361041774896 54.114067389537944,12.053517421278018 54.113946479043427,12.053406219847727 54.113793586306429,12.053325440517726 54.113657304128772,12.05270412115086 54.112305989621852,12.052592825019882 54.112072491459486,12.052455420013427 54.111838914713793,12.052352180636339 54.111690780074163,12.052291660526826 54.111610201718271,12.05208956996024 54.11139094042818,12.051903684320157 54.111217859992692,12.051695596583732 54.111041374118209,12.051556339444518 54.110934679850828))",53d764d8-9999-11e5-9582-0050569b7e95,Rostock,13003,"Rostock, Hansestadt",130030000,"Rostock, Hansestadt",130030000000,25-39
"MULTILINESTRING ((12.104818230964211 54.074173763486073,12.104467175752301 54.074340221704261))",53d74bf6-9999-11e5-957c-0050569b7e95,Rostock,13003,"Rostock, Hansestadt",130030000,"Rostock, Hansestadt",130030000000,28-F1
"MULTILINESTRING ((12.10446202196049 54.07434543811209,12.103853450265685 54.07469372676573))",53d75196-9999-11e5-957d-0050569b7e95,Rostock,13003,"Rostock, Hansestadt",130030000,"Rostock, Hansestadt",130030000000,28-F1
"MULTILINESTRING ((12.116444284652863 54.071953023092995,12.116210735319148 54.071938608653916,12.111837686502126 54.072138022349321))",53d759b6-9999-11e5-957f-0050569b7e95,Rostock,13003,"Rostock, Hansestadt",130030000,"Rostock, Hansestadt",130030000000,F1
"MULTILINESTRING ((12.111833907025121 54.072138385307404,12.111356160971546 54.072176929622877,12.110417124014907 54.072282573227952,12.109623831550124 54.07241665251788,12.108919664950239 54.072565023637111,12.108272250113112 54.072732300205175,12.107794928468834 54.072889895696797))",53d75d4e-9999-11e5-9580-0050569b7e95,Rostock,13003,"Rostock, Hansestadt",130030000,"Rostock, Hansestadt",130030000000,F1
