geometrie_wkt,uuid,kreis_name,kreis_schluessel,gemeindeverband_name,gemeindeverband_schluessel,gemeinde_name,gemeinde_schluessel,strasse_name,strasse_schluessel
"MULTILINESTRING ((12.065755712418602 54.147964556224295,12.066525358916101 54.147920641136423,12.066625285960804 54.148591209167122,12.066776189534227 54.149555949530452,12.066956587384404 54.150642433059367,12.067022318034471 54.150925634284469,12.067197899228335 54.151992800054785),(12.065152236846123 54.149637264052515,12.065595082796273 54.149611952642822,12.066364642539742 54.149573520093028,12.066776189534227 54.149555949530452),(12.064805238640806 54.145880594738088,12.064840348734336 54.146132902094145,12.064874225555133 54.146322847409259,12.064894495248213 54.146368395387903,12.064914217131523 54.146386536426668,12.064953369068391 54.146397657914534,12.065023442587012 54.146404089978567,12.065194237146816 54.14639851613196,12.06535076735592 54.146393488948341,12.065460377691407 54.146414816005503,12.065512328904697 54.146456842111981,12.06553211086959 54.14651281398185,12.065588918720971 54.146911670562041,12.065755712418602 54.147964556224295,12.064011540367098 54.14806676848545,12.063605444612779 54.148090257469796,12.063550553443246 54.148107000381025,12.063524339655531 54.148136578077938,12.06352275557818 54.148173870709826,12.063539215429332 54.148205133213331,12.063576233554215 54.148223445052295,12.063618536397948 54.148230252038687,12.063847277913862 54.148219707174668,12.063904708151286 54.148212128474576,12.063950763912761 54.148196558274101,12.063984925229837 54.148163292009833,12.063996355353249 54.148125544837647,12.063997569279337 54.148094093279667,12.064011540367098 54.14806676848545),(12.064534506045097 54.144289772539643,12.064645713321996 54.144529638535076,12.064717675782367 54.144697008670072,12.064803200397749 54.144818363238173,12.064894571586507 54.144964785474222,12.065033994963526 54.145243814736794,12.065161167297857 54.145437483658789,12.06530359156573 54.145615868001499,12.065469481247209 54.145783995392335,12.065570254659525 54.145886021244806,12.065937948782651 54.146258109424579,12.066026381709975 54.146378203463634,12.06619683031413 54.146630615799218,12.06628078858893 54.146793575216385,12.066337812990984 54.146928423312296,12.066370558111393 54.147037584876756,12.066440314055139 54.147396626007065,12.066477183930294 54.147637160225052,12.066525358916101 54.147920641136423))",3036af1a-3ef5-11e5-a0ee-0050569b7e95,Rostock,13003,"Rostock, Hansestadt",130030000,"Rostock, Hansestadt",130030000000,Flensburger Str.,01930
"MULTILINESTRING ((12.089087816419982 54.149185389174214,12.089133536644329 54.149252570419868,12.089200800917327 54.149357656497607,12.089260547579981 54.149430578321812,12.089270182958545 54.149449351863318,12.089269469941188 54.149470020133698,12.089259913839381 54.149488089029347,12.089224489877589 54.149512377423903,12.089134943331823 54.149554677847426,12.088803842014066 54.149697170549253,12.08866686078948 54.149756489100078,12.088362621852239 54.149886829727649,12.08827307342842 54.149929039648605,12.088183277669213 54.149973765756464,12.087787941007159 54.150191695011735,12.087721731602356 54.150226159559168,12.087643017253228 54.15025784752396,12.087591290749065 54.150275317963704,12.087545744674653 54.150289998234562,12.087384858447287 54.150330552019838,12.08729552634459 54.150356496441617,12.087244952475166 54.150381873552625),(12.087098503186617 54.150864616205091,12.087143730418269 54.150697803821728,12.087175823404538 54.150529293594623,12.087199258503311 54.150446425949617,12.08721887189726 54.150407412616644,12.087244952475166 54.150381873552625))",3039dc30-3ef5-11e5-a281-0050569b7e95,Rostock,13003,"Rostock, Hansestadt",130030000,"Rostock, Hansestadt",130030000000,Lütten Enn,06790
"MULTILINESTRING ((12.085028757428203 54.179835362600635,12.085143762143078 54.179851545865233,12.085257634860655 54.179870156022254,12.085342200907888 54.179891033328744,12.085405683248402 54.179919383852827,12.085441880531171 54.17995009004899,12.085458521095827 54.179993570134187,12.085448469342889 54.180326865347752,12.085470874791678 54.180347517080293,12.085515996904839 54.180355931815413))",3037094c-3ef5-11e5-a118-0050569b7e95,Rostock,13003,"Rostock, Hansestadt",130030000,"Rostock, Hansestadt",130030000000,Georginenplatz,02820
"MULTILINESTRING ((12.084551587593527 54.179785646990034,12.084593106436264 54.179638518172425,12.08489380269798 54.178653448642933))",3038bbac-3ef5-11e5-a1f1-0050569b7e95,Rostock,13003,"Rostock, Hansestadt",130030000,"Rostock, Hansestadt",130030000000,Katergang,12480
"MULTILINESTRING ((12.052217439706638 54.165114430082255,12.052247217741238 54.165693202099028,12.051604599025806 54.165889103423773,12.051544994632252 54.165896407582217,12.051475890505021 54.16588179006213,12.051419257978198 54.165841287645492,12.051383987876495 54.165815063740709))",30378fc0-3ef5-11e5-a15d-0050569b7e95,Rostock,13003,"Rostock, Hansestadt",130030000,"Rostock, Hansestadt",130030000000,Hagebuttenweg,11120
"MULTILINESTRING ((12.068822986477642 54.146455443732783,12.069085035453524 54.146363726481617,12.070023709169719 54.146035375516888,12.070218898840913 54.145974786157694,12.070418912323792 54.145930278560819,12.070667921472445 54.145894817710733,12.070891711641002 54.145876444562425,12.071108457663001 54.145872902025069,12.071312345066193 54.145879700592985,12.071460318369439 54.14589210333461,12.071626747762375 54.14591905219752,12.071792439844605 54.145957503322848,12.071945027371118 54.14600980046135,12.072060369855899 54.146059334058556,12.072314000101898 54.14621293202471,12.073095782247744 54.146702285420346,12.073212590118413 54.146793422095023,12.073293258899341 54.146865081097296,12.073382556604678 54.146961715800728,12.073581328332695 54.147212752502888,12.073646976607217 54.14728495960415,12.073271987195159 54.14740110757689,12.073202190323482 54.147410046165085,12.073101448268133 54.147410197254899,12.071616033756452 54.147390871845815,12.071330840819993 54.147385649622471,12.071337371142548 54.147292281455435,12.071616033756452 54.147390871845815),(12.071657727047507 54.151282851909549,12.073094291824294 54.151301038331283,12.073228486519188 54.151292689668935,12.073414404737596 54.151261125515049,12.073553604499885 54.151227432999491,12.073769106087296 54.151147505691554,12.0738758194817 54.151092356238159,12.074488916127427 54.150742963243772,12.073999920853069 54.150451580229941,12.073569932496193 54.150182983535039,12.073372653436227 54.150070060424824,12.073254345093765 54.149992583544261,12.073208671486427 54.149937707040209,12.07319934715736 54.149876518236333,12.073210420428536 54.149784135699605,12.073242737344911 54.149710790497927,12.073303338628 54.149639944136311,12.07337724014344 54.149594070641491,12.073499488033676 54.149544123899233,12.073571786967271 54.149520266897639,12.073648914900669 54.149514199125278,12.073928311738801 54.149517442506934,12.073926946175884 54.149601282477491,12.073648914900669 54.149514199125278),(12.073059943701034 54.150723890257844,12.072871692430599 54.150791668745697,12.072792273828522 54.150788841291927,12.072803506995347 54.150714969811688,12.073059943701034 54.150723890257844,12.07338391436482 54.150726119382746,12.073469371563883 54.150716811698892,12.073517189758821 54.150698810557643,12.073999920853069 54.150451580229941),(12.073646976607217 54.14728495960415,12.0737934158598 54.147425320724089,12.073877113679155 54.147495270135515,12.073957766066707 54.147556325242839,12.074984629798053 54.148182281980404,12.07512973436493 54.148278521148924,12.075235049363146 54.14836229451398,12.075300329957452 54.148438005461507,12.075366426070577 54.148545526213752,12.075392351432351 54.148639593134767,12.075371314732305 54.149498935025044,12.075357983414017 54.149944018627245,12.075345563009549 54.150056710502149,12.075325120949861 54.150132115607725,12.075281576842116 54.150208703336887,12.075218851541329 54.15029042504213,12.075135912426427 54.150364880695925,12.074993933273385 54.150465072972423,12.07448488037233 54.150745391953627))",303b62bc-3ef5-11e5-a344-0050569b7e95,Rostock,13003,"Rostock, Hansestadt",130030000,"Rostock, Hansestadt",130030000000,Schiffbauerring,08210
"MULTILINESTRING ((12.082685102110146 54.173881028519588,12.083930809906711 54.173956097760076,12.083978562808069 54.173957232634365,12.084015817324849 54.173951725222125))",303d2750-3ef5-11e5-a41f-0050569b7e95,Rostock,13003,"Rostock, Hansestadt",130030000,"Rostock, Hansestadt",130030000000,Wossidlostr.,09890
"MULTILINESTRING ((12.084172837511757 54.180605698575803,12.084451351188736 54.179762533637778))",3039cf4c-3ef5-11e5-a27b-0050569b7e95,Rostock,13003,"Rostock, Hansestadt",130030000,"Rostock, Hansestadt",130030000000,Luisenstr.,06760
"MULTILINESTRING ((12.084292783829827 54.17354824274814,12.08557719404096 54.173772074994538))",303c5a82-3ef5-11e5-a3bc-0050569b7e95,Rostock,13003,"Rostock, Hansestadt",130030000,"Rostock, Hansestadt",130030000000,Trojanstr.,09030
"MULTILINESTRING ((12.085902636572232 54.176895713878842,12.086527845031549 54.176949002089735,12.086615787642621 54.176955947887457,12.086790898202054 54.176961842368279,12.08693163332546 54.176961650983344))",3038d902-3ef5-11e5-a200-0050569b7e95,Rostock,13003,"Rostock, Hansestadt",130030000,"Rostock, Hansestadt",130030000000,Kirchenstr.,05930
